"","SiteCode","BD_Counts","CC_Counts","LD_Counts","TD_Counts"
"1","Baker.LeftAsaph",13,0,3,0
"2","Bonnel.Pine",2,0,3,0
"3","Buck.Cedar",23,0,0,0
"4","CR0-SY",52,19,60,9
"5","Coal.Loyalsock",3,0,0,0
"6","Darling.Pine",52,0,59,1
"7","EC0-ML",29,30,30,31
"8","EC0-NF",29,29,20,30
"9","EC0-PH",30,30,21,30
"10","EC0-SF",30,28,10,30
"11","EastWallis.Wallis",18,0,4,0
"12","FlagMarsh.Pigeon",30,6,0,0
"13","Glass.Loyalsock",35,20,0,0
"14","Hammersley.Kettle",65,6,60,0
"15","Huckle.Loyalsock",3,0,16,0
"16","LR0-FM-M",29,30,0,18
"17","LR0-PF",30,30,24,30
"18","LR0-SM",30,30,5,30
"19","LR0-SR",30,7,4,28
"20","LS0-RA",67,35,23,13
"21","LU0-EL",30,29,4,17
"22","LittleLyman.CrossFork",25,2,0,0
"23","MillCreek.Loyalsock",60,0,0,0
"24","Miller.LittleKettle",1,0,0,0
"25","Ogdonia.LowerLoyalsock",4,0,0,0
"26","PC0-SS",30,6,4,9
"27","PK0-BP",90,90,89,0
"28","PK0-CH-W",120,119,86,0
"29","PK0-KC",103,14,92,0
"30","PK0-RK",89,20,88,0
"31","Sherman.UpperLoyalsock",30,29,0,1
"32","TC0-BU",30,30,16,29
"33","TC0-CB-U",30,30,19,30
"34","TC0-GU",30,30,9,30
"35","TC0-SB-U",30,30,3,30
"36","UNTEastWallisRM261.EastWallis",30,0,6,0
"37","UNTGlassRM242.Glass",14,4,0,0
"38","UNTWattlesRM147.Wattles",11,4,0,0
"39","WF0-AM",30,29,0,1
"40","WF0-FL",74,78,0,0
"41","WF0-NW",89,86,0,0
"42","WF0-SW",90,90,0,0
"43","Walters.Kettle",30,0,30,0
"44","Windfall.CrossFork",30,0,9,0
"45","Osborne.Kettle",0,17,0,0
"46","Scar.Loyalsock",0,1,0,0
"47","UNTHopperHouseRM090.HopperHouse",0,1,0,0
"48","Lloyd.Pine",0,0,14,1
"49","PK0-CH-E",0,0,5,0
"50","Shanerburg.Loyalsock",0,0,13,0
"51","Swamp.Hoagland",0,0,30,0
