"","SiteCode","BD_Counts","CC_Counts","LD_Counts","TD_Counts","BD_Ranks","CC_Ranks","LD_Ranks","TD_Ranks"
"1","Baker.LeftAsaph",13,0,3,0,14,9,21,16
"2","Bonnel.Pine",2,0,3,0,9,9,21,16
"3","Buck.Cedar",23,0,0,0,17,9,10,16
"4","CR0-SY",52,19,60,9,40.5,29,46.5,36.5
"5","Coal.Loyalsock",3,0,0,0,10.5,9,10,16
"6","Darling.Pine",52,0,59,1,40.5,9,45,33.5
"7","EC0-ML",29,30,30,31,20,41,43,51
"8","EC0-NF",29,29,20,30,20,34.5,38,46.5
"9","EC0-PH",30,30,21,30,30,41,39,46.5
"10","EC0-SF",30,28,10,30,30,32,32,46.5
"11","EastWallis.Wallis",18,0,4,0,16,9,24.5,16
"12","FlagMarsh.Pigeon",30,6,0,0,30,24,10,16
"13","Glass.Loyalsock",35,20,0,0,39,30.5,10,16
"14","Hammersley.Kettle",65,6,60,0,43,24,46.5,16
"15","Huckle.Loyalsock",3,0,16,0,10.5,9,35.5,16
"16","LR0-FM-M",29,30,0,18,20,41,10,40
"17","LR0-PF",30,30,24,30,30,41,41,46.5
"18","LR0-SM",30,30,5,30,30,41,27.5,46.5
"19","LR0-SR",30,7,4,28,30,26,24.5,41
"20","LS0-RA",67,35,23,13,44,46,40,38
"21","LU0-EL",30,29,4,17,30,34.5,24.5,39
"22","LittleLyman.CrossFork",25,2,0,0,18,20,10,16
"23","MillCreek.Loyalsock",60,0,0,0,42,9,10,16
"24","Miller.LittleKettle",1,0,0,0,8,9,10,16
"25","Ogdonia.LowerLoyalsock",4,0,0,0,12,9,10,16
"26","PC0-SS",30,6,4,9,30,24,24.5,36.5
"27","PK0-BP",90,90,89,0,48.5,49.5,50,16
"28","PK0-CH-W",120,119,86,0,51,51,48,16
"29","PK0-KC",103,14,92,0,50,27,51,16
"30","PK0-RK",89,20,88,0,46.5,30.5,49,16
"31","Sherman.UpperLoyalsock",30,29,0,1,30,34.5,10,33.5
"32","TC0-BU",30,30,16,29,30,41,35.5,42
"33","TC0-CB-U",30,30,19,30,30,41,37,46.5
"34","TC0-GU",30,30,9,30,30,41,30.5,46.5
"35","TC0-SB-U",30,30,3,30,30,41,21,46.5
"36","UNTEastWallisRM261.EastWallis",30,0,6,0,30,9,29,16
"37","UNTGlassRM242.Glass",14,4,0,0,15,21.5,10,16
"38","UNTWattlesRM147.Wattles",11,4,0,0,13,21.5,10,16
"39","WF0-AM",30,29,0,1,30,34.5,10,33.5
"40","WF0-FL",74,78,0,0,45,47,10,16
"41","WF0-NW",89,86,0,0,46.5,48,10,16
"42","WF0-SW",90,90,0,0,48.5,49.5,10,16
"43","Walters.Kettle",30,0,30,0,30,9,43,16
"44","Windfall.CrossFork",30,0,9,0,30,9,30.5,16
"45","Osborne.Kettle",0,17,0,0,4,28,10,16
"46","Scar.Loyalsock",0,1,0,0,4,18.5,10,16
"47","UNTHopperHouseRM090.HopperHouse",0,1,0,0,4,18.5,10,16
"48","Lloyd.Pine",0,0,14,1,4,9,34,33.5
"49","PK0-CH-E",0,0,5,0,4,9,27.5,16
"50","Shanerburg.Loyalsock",0,0,13,0,4,9,33,16
"51","Swamp.Hoagland",0,0,30,0,4,9,43,16
