"","SiteCode","Species","Length_mm","Wt_g","logW","logL","Date","HUC12Watershed"
"1","Baker.LeftAsaph","Blacknose Dace",46,0.84,-0.075720714,1.662757832,"7/16/2024","020502050302 Asaph Run"
"2","Baker.LeftAsaph","Blacknose Dace",48,0.87,-0.060480747,1.681241237,"7/16/2024","020502050302 Asaph Run"
"3","Baker.LeftAsaph","Blacknose Dace",70,3.4,0.531478917,1.84509804,"7/16/2024","020502050302 Asaph Run"
"4","Baker.LeftAsaph","Blacknose Dace",43,0.52,-0.283996656,1.633468456,"7/16/2024","020502050302 Asaph Run"
"5","Baker.LeftAsaph","Blacknose Dace",46,0.75,-0.124938737,1.662757832,"7/16/2024","020502050302 Asaph Run"
"6","Baker.LeftAsaph","Blacknose Dace",68,2.68,0.428134794,1.832508913,"7/16/2024","020502050302 Asaph Run"
"7","Baker.LeftAsaph","Blacknose Dace",64,2.13,0.328379603,1.806179974,"7/16/2024","020502050302 Asaph Run"
"8","Baker.LeftAsaph","Longnose Dace",83,4.4,0.643452676,1.919078092,"7/16/2024","020502050302 Asaph Run"
"9","Baker.LeftAsaph","Blacknose Dace",60,1.86,0.269512944,1.77815125,"7/16/2024","020502050302 Asaph Run"
"10","Baker.LeftAsaph","Blacknose Dace",40,0.52,-0.283996656,1.602059991,"7/16/2024","020502050302 Asaph Run"
"11","Baker.LeftAsaph","Longnose Dace",100,10,1,2,"7/16/2024","020502050302 Asaph Run"
"12","Baker.LeftAsaph","Blacknose Dace",59,1.59,0.201397124,1.770852012,"7/16/2024","020502050302 Asaph Run"
"13","Baker.LeftAsaph","Longnose Dace",131,27.7,1.442479769,2.117271296,"7/16/2024","020502050302 Asaph Run"
"14","Baker.LeftAsaph","Blacknose Dace",63,1.94,0.28780173,1.799340549,"7/16/2024","020502050302 Asaph Run"
"15","Baker.LeftAsaph","Blacknose Dace",59,1.63,0.212187604,1.770852012,"7/16/2024","020502050302 Asaph Run"
"16","Baker.LeftAsaph","Blacknose Dace",40,0.53,-0.27572413,1.602059991,"7/16/2024","020502050302 Asaph Run"
"17","Bonnel.Pine","Longnose Dace",81,4.6,0.662757832,1.908485019,"7/14/2022","020502050604 Mill Run-Pine Creek"
"18","Bonnel.Pine","Blacknose Dace",65,3.3,0.51851394,1.812913357,"7/14/2022","020502050604 Mill Run-Pine Creek"
"19","Bonnel.Pine","Blacknose Dace",55,1.2,0.079181246,1.740362689,"7/14/2022","020502050604 Mill Run-Pine Creek"
"20","Bonnel.Pine","Longnose Dace",67,2.9,0.462397998,1.826074803,"7/14/2022","020502050604 Mill Run-Pine Creek"
"21","Bonnel.Pine","Longnose Dace",69,3.1,0.491361694,1.838849091,"7/14/2022","020502050604 Mill Run-Pine Creek"
"22","Buck.Cedar","Blacknose Dace",49,1,0,1.69019608,"7/11/2023","020502050602 Cedar Run"
"23","Buck.Cedar","Blacknose Dace",60,1.9,0.278753601,1.77815125,"7/11/2023","020502050602 Cedar Run"
"24","Buck.Cedar","Blacknose Dace",77,4.4,0.643452676,1.886490725,"7/11/2023","020502050602 Cedar Run"
"25","Buck.Cedar","Blacknose Dace",44,0.7,-0.15490196,1.643452676,"7/11/2023","020502050602 Cedar Run"
"26","Buck.Cedar","Blacknose Dace",58,1.8,0.255272505,1.763427994,"7/11/2023","020502050602 Cedar Run"
"27","Buck.Cedar","Blacknose Dace",45,0.8,-0.096910013,1.653212514,"7/11/2023","020502050602 Cedar Run"
"28","Buck.Cedar","Blacknose Dace",48,0.9,-0.045757491,1.681241237,"7/11/2023","020502050602 Cedar Run"
"29","Buck.Cedar","Blacknose Dace",48,0.8,-0.096910013,1.681241237,"7/11/2023","020502050602 Cedar Run"
"30","Buck.Cedar","Blacknose Dace",59,1.8,0.255272505,1.770852012,"7/11/2023","020502050602 Cedar Run"
"31","Buck.Cedar","Blacknose Dace",62,2.1,0.322219295,1.792391689,"7/11/2023","020502050602 Cedar Run"
"32","Buck.Cedar","Blacknose Dace",52,1.1,0.041392685,1.716003344,"7/11/2023","020502050602 Cedar Run"
"33","Buck.Cedar","Blacknose Dace",82,5.3,0.72427587,1.913813852,"7/11/2023","020502050602 Cedar Run"
"34","Buck.Cedar","Blacknose Dace",37,0.4,-0.397940009,1.568201724,"7/11/2023","020502050602 Cedar Run"
"35","Buck.Cedar","Blacknose Dace",41,0.8,-0.096910013,1.612783857,"7/11/2023","020502050602 Cedar Run"
"36","Buck.Cedar","Blacknose Dace",43,0.6,-0.22184875,1.633468456,"7/11/2023","020502050602 Cedar Run"
"37","Buck.Cedar","Blacknose Dace",83,5.7,0.755874856,1.919078092,"7/11/2023","020502050602 Cedar Run"
"38","Buck.Cedar","Blacknose Dace",45,0.8,-0.096910013,1.653212514,"7/11/2023","020502050602 Cedar Run"
"39","Buck.Cedar","Blacknose Dace",64,2.2,0.342422681,1.806179974,"7/11/2023","020502050602 Cedar Run"
"40","Buck.Cedar","Blacknose Dace",62,2,0.301029996,1.792391689,"7/11/2023","020502050602 Cedar Run"
"41","Buck.Cedar","Blacknose Dace",44,0.7,-0.15490196,1.643452676,"7/11/2023","020502050602 Cedar Run"
"42","Buck.Cedar","Blacknose Dace",62,1.8,0.255272505,1.792391689,"7/11/2023","020502050602 Cedar Run"
"43","Buck.Cedar","Blacknose Dace",61,2,0.301029996,1.785329835,"7/11/2023","020502050602 Cedar Run"
"44","Buck.Cedar","Blacknose Dace",92,5.5,0.740362689,1.963787827,"7/11/2023","020502050602 Cedar Run"
"45","Coal.Loyalsock","Blacknose Dace",75,3.5,0.544068044,1.875061263,"6/30/2022","020502060304 Little Loyalsock Creek-Loyalsock Creek"
"46","Coal.Loyalsock","Blacknose Dace",49,0.94,-0.026872146,1.69019608,"6/24/2025","020502060304 Little Loyalsock Creek-Loyalsock Creek"
"47","Coal.Loyalsock","Blacknose Dace",46,0.8,-0.096910013,1.662757832,"6/24/2025","020502060304 Little Loyalsock Creek-Loyalsock Creek"
"48","CR0-SY","Longnose Dace",53,1.4,0.146128036,1.72427587,"6/3/2022","020502061005 Buffalo Creek"
"49","CR0-SY","Blacknose Dace",54,1.4,0.146128036,1.73239376,"6/3/2022","020502061005 Buffalo Creek"
"50","CR0-SY","Blacknose Dace",68,3.4,0.531478917,1.832508913,"6/3/2022","020502061005 Buffalo Creek"
"51","CR0-SY","Longnose Dace",86,5.8,0.763427994,1.934498451,"6/3/2022","020502061005 Buffalo Creek"
"52","CR0-SY","Blacknose Dace",59,2.1,0.322219295,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"53","CR0-SY","Tessellated Darter",43,0.5,-0.301029996,1.633468456,"6/3/2022","020502061005 Buffalo Creek"
"54","CR0-SY","Blacknose Dace",67,2.5,0.397940009,1.826074803,"6/3/2022","020502061005 Buffalo Creek"
"55","CR0-SY","Blacknose Dace",57,2,0.301029996,1.755874856,"6/3/2022","020502061005 Buffalo Creek"
"56","CR0-SY","Longnose Dace",53,1.6,0.204119983,1.72427587,"6/3/2022","020502061005 Buffalo Creek"
"57","CR0-SY","Longnose Dace",81,5.2,0.716003344,1.908485019,"6/3/2022","020502061005 Buffalo Creek"
"58","CR0-SY","Longnose Dace",63,2.3,0.361727836,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"59","CR0-SY","Longnose Dace",48,1,0,1.681241237,"6/3/2022","020502061005 Buffalo Creek"
"60","CR0-SY","Blacknose Dace",59,1.9,0.278753601,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"61","CR0-SY","Creek Chub",78,5,0.698970004,1.892094603,"6/3/2022","020502061005 Buffalo Creek"
"62","CR0-SY","Longnose Dace",85,6.1,0.785329835,1.929418926,"6/3/2022","020502061005 Buffalo Creek"
"63","CR0-SY","Longnose Dace",65,2.7,0.431363764,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"64","CR0-SY","Creek Chub",91,9.4,0.973127854,1.959041392,"6/3/2022","020502061005 Buffalo Creek"
"65","CR0-SY","Tessellated Darter",64,2.2,0.342422681,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"66","CR0-SY","Longnose Dace",80,4.8,0.681241237,1.903089987,"6/3/2022","020502061005 Buffalo Creek"
"67","CR0-SY","Blacknose Dace",52,1.5,0.176091259,1.716003344,"6/3/2022","020502061005 Buffalo Creek"
"68","CR0-SY","Creek Chub",82,5.7,0.755874856,1.913813852,"6/3/2022","020502061005 Buffalo Creek"
"69","CR0-SY","Blacknose Dace",41,0.4,-0.397940009,1.612783857,"6/3/2022","020502061005 Buffalo Creek"
"70","CR0-SY","Blacknose Dace",43,0.7,-0.15490196,1.633468456,"6/3/2022","020502061005 Buffalo Creek"
"71","CR0-SY","Creek Chub",90,7.7,0.886490725,1.954242509,"6/3/2022","020502061005 Buffalo Creek"
"72","CR0-SY","Tessellated Darter",72,3.6,0.556302501,1.857332496,"6/3/2022","020502061005 Buffalo Creek"
"73","CR0-SY","Blacknose Dace",63,2.6,0.414973348,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"74","CR0-SY","Creek Chub",82,8.1,0.908485019,1.913813852,"6/3/2022","020502061005 Buffalo Creek"
"75","CR0-SY","Blacknose Dace",54,1.4,0.146128036,1.73239376,"6/3/2022","020502061005 Buffalo Creek"
"76","CR0-SY","Longnose Dace",65,3.3,0.51851394,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"77","CR0-SY","Creek Chub",96,8.7,0.939519253,1.982271233,"6/3/2022","020502061005 Buffalo Creek"
"78","CR0-SY","Blacknose Dace",60,2.5,0.397940009,1.77815125,"6/3/2022","020502061005 Buffalo Creek"
"79","CR0-SY","Creek Chub",47,1.1,0.041392685,1.672097858,"6/3/2022","020502061005 Buffalo Creek"
"80","CR0-SY","Longnose Dace",58,1.9,0.278753601,1.763427994,"6/3/2022","020502061005 Buffalo Creek"
"81","CR0-SY","Blacknose Dace",64,2.6,0.414973348,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"82","CR0-SY","Longnose Dace",52,1.4,0.146128036,1.716003344,"6/3/2022","020502061005 Buffalo Creek"
"83","CR0-SY","Blacknose Dace",64,3.1,0.491361694,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"84","CR0-SY","Longnose Dace",60,1.8,0.255272505,1.77815125,"6/3/2022","020502061005 Buffalo Creek"
"85","CR0-SY","Tessellated Darter",59,2.1,0.322219295,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"86","CR0-SY","Longnose Dace",86,6.2,0.792391689,1.934498451,"6/3/2022","020502061005 Buffalo Creek"
"87","CR0-SY","Creek Chub",39,0.7,-0.15490196,1.591064607,"6/3/2022","020502061005 Buffalo Creek"
"88","CR0-SY","Creek Chub",61,2.6,0.414973348,1.785329835,"6/3/2022","020502061005 Buffalo Creek"
"89","CR0-SY","Longnose Dace",83,7.5,0.875061263,1.919078092,"6/3/2022","020502061005 Buffalo Creek"
"90","CR0-SY","Blacknose Dace",43,0.7,-0.15490196,1.633468456,"6/3/2022","020502061005 Buffalo Creek"
"91","CR0-SY","Blacknose Dace",52,1.4,0.146128036,1.716003344,"6/3/2022","020502061005 Buffalo Creek"
"92","CR0-SY","Longnose Dace",65,2.6,0.414973348,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"93","CR0-SY","Longnose Dace",93,8.7,0.939519253,1.968482949,"6/3/2022","020502061005 Buffalo Creek"
"94","CR0-SY","Longnose Dace",71,3.6,0.556302501,1.851258349,"6/3/2022","020502061005 Buffalo Creek"
"95","CR0-SY","Creek Chub",78,4.8,0.681241237,1.892094603,"6/3/2022","020502061005 Buffalo Creek"
"96","CR0-SY","Longnose Dace",87,6.1,0.785329835,1.939519253,"6/3/2022","020502061005 Buffalo Creek"
"97","CR0-SY","Longnose Dace",65,2.6,0.414973348,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"98","CR0-SY","Longnose Dace",55,1.5,0.176091259,1.740362689,"6/3/2022","020502061005 Buffalo Creek"
"99","CR0-SY","Longnose Dace",63,2.1,0.322219295,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"100","CR0-SY","Longnose Dace",64,2.4,0.380211242,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"101","CR0-SY","Creek Chub",77,6.7,0.826074803,1.886490725,"6/3/2022","020502061005 Buffalo Creek"
"102","CR0-SY","Blacknose Dace",64,2.8,0.447158031,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"103","CR0-SY","Longnose Dace",65,2.9,0.462397998,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"104","CR0-SY","Blacknose Dace",69,3.2,0.505149978,1.838849091,"6/3/2022","020502061005 Buffalo Creek"
"105","CR0-SY","Blacknose Dace",63,2.7,0.431363764,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"106","CR0-SY","Blacknose Dace",56,1.9,0.278753601,1.748188027,"6/3/2022","020502061005 Buffalo Creek"
"107","CR0-SY","Blacknose Dace",57,1.8,0.255272505,1.755874856,"6/3/2022","020502061005 Buffalo Creek"
"108","CR0-SY","Tessellated Darter",55,1.6,0.204119983,1.740362689,"6/3/2022","020502061005 Buffalo Creek"
"109","CR0-SY","Blacknose Dace",59,2.1,0.322219295,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"110","CR0-SY","Blacknose Dace",65,2.5,0.397940009,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"111","CR0-SY","Longnose Dace",55,1.6,0.204119983,1.740362689,"6/3/2022","020502061005 Buffalo Creek"
"112","CR0-SY","Blacknose Dace",78,5.2,0.716003344,1.892094603,"6/3/2022","020502061005 Buffalo Creek"
"113","CR0-SY","Longnose Dace",83,5.7,0.755874856,1.919078092,"6/3/2022","020502061005 Buffalo Creek"
"114","CR0-SY","Longnose Dace",95,10,1,1.977723605,"6/3/2022","020502061005 Buffalo Creek"
"115","CR0-SY","Longnose Dace",86,7.5,0.875061263,1.934498451,"6/3/2022","020502061005 Buffalo Creek"
"116","CR0-SY","Longnose Dace",68,2.6,0.414973348,1.832508913,"6/3/2022","020502061005 Buffalo Creek"
"117","CR0-SY","Longnose Dace",68,3.2,0.505149978,1.832508913,"6/3/2022","020502061005 Buffalo Creek"
"118","CR0-SY","Longnose Dace",75,8.1,0.908485019,1.875061263,"6/5/2023","020502061005 Buffalo Creek"
"119","CR0-SY","Blacknose Dace",75,7.5,0.875061263,1.875061263,"6/5/2023","020502061005 Buffalo Creek"
"120","CR0-SY","Blacknose Dace",42,0.5,-0.301029996,1.62324929,"6/5/2023","020502061005 Buffalo Creek"
"121","CR0-SY","Blacknose Dace",54,1.8,0.255272505,1.73239376,"6/5/2023","020502061005 Buffalo Creek"
"122","CR0-SY","Blacknose Dace",53,2.3,0.361727836,1.72427587,"6/5/2023","020502061005 Buffalo Creek"
"123","CR0-SY","Blacknose Dace",64,2.5,0.397940009,1.806179974,"6/5/2023","020502061005 Buffalo Creek"
"124","CR0-SY","Blacknose Dace",61,2.1,0.322219295,1.785329835,"6/5/2023","020502061005 Buffalo Creek"
"125","CR0-SY","Longnose Dace",70,3.8,0.579783597,1.84509804,"6/5/2023","020502061005 Buffalo Creek"
"126","CR0-SY","Longnose Dace",76,4.8,0.681241237,1.880813592,"6/5/2023","020502061005 Buffalo Creek"
"127","CR0-SY","Blacknose Dace",60,3.7,0.568201724,1.77815125,"6/5/2023","020502061005 Buffalo Creek"
"128","CR0-SY","Longnose Dace",61,2.1,0.322219295,1.785329835,"6/5/2023","020502061005 Buffalo Creek"
"129","CR0-SY","Longnose Dace",63,2.2,0.342422681,1.799340549,"6/5/2023","020502061005 Buffalo Creek"
"130","CR0-SY","Blacknose Dace",58,1.9,0.278753601,1.763427994,"6/5/2023","020502061005 Buffalo Creek"
"131","CR0-SY","Creek Chub",80,5.8,0.763427994,1.903089987,"6/5/2023","020502061005 Buffalo Creek"
"132","CR0-SY","Longnose Dace",65,6.3,0.799340549,1.812913357,"6/5/2023","020502061005 Buffalo Creek"
"133","CR0-SY","Longnose Dace",80,5.7,0.755874856,1.903089987,"6/5/2023","020502061005 Buffalo Creek"
"134","CR0-SY","Creek Chub",86,7.1,0.851258349,1.934498451,"6/5/2023","020502061005 Buffalo Creek"
"135","CR0-SY","Longnose Dace",71,6.4,0.806179974,1.851258349,"6/5/2023","020502061005 Buffalo Creek"
"136","CR0-SY","Longnose Dace",115,10.5,1.021189299,2.06069784,"6/5/2023","020502061005 Buffalo Creek"
"137","CR0-SY","Creek Chub",69,3.1,0.491361694,1.838849091,"6/5/2023","020502061005 Buffalo Creek"
"138","CR0-SY","Tessellated Darter",45,0.8,-0.096910013,1.653212514,"6/5/2023","020502061005 Buffalo Creek"
"139","CR0-SY","Longnose Dace",62,2.5,0.397940009,1.792391689,"6/5/2023","020502061005 Buffalo Creek"
"140","CR0-SY","Creek Chub",101,9.3,0.968482949,2.004321374,"6/5/2023","020502061005 Buffalo Creek"
"141","CR0-SY","Creek Chub",48,1,0,1.681241237,"6/5/2023","020502061005 Buffalo Creek"
"142","CR0-SY","Longnose Dace",94,9.4,0.973127854,1.973127854,"6/5/2023","020502061005 Buffalo Creek"
"143","CR0-SY","Blacknose Dace",42,0.6,-0.22184875,1.62324929,"6/5/2023","020502061005 Buffalo Creek"
"144","CR0-SY","Creek Chub",89,8,0.903089987,1.949390007,"6/5/2023","020502061005 Buffalo Creek"
"145","CR0-SY","Blacknose Dace",61,2,0.301029996,1.785329835,"6/5/2023","020502061005 Buffalo Creek"
"146","CR0-SY","Blacknose Dace",33,0.3,-0.522878745,1.51851394,"6/5/2023","020502061005 Buffalo Creek"
"147","CR0-SY","Longnose Dace",60,2.2,0.342422681,1.77815125,"6/5/2023","020502061005 Buffalo Creek"
"148","CR0-SY","Creek Chub",135,28.6,1.456366033,2.130333768,"6/5/2023","020502061005 Buffalo Creek"
