"","SiteCode","Species","Length_mm","Wt_g","logW","logL","Date","HUC12Watershed"
"1","Baker.LeftAsaph","Blacknose Dace",46,0.84,-0.075720714,1.662757832,"7/16/2024","020502050302 Asaph Run"
"2","Baker.LeftAsaph","Blacknose Dace",48,0.87,-0.060480747,1.681241237,"7/16/2024","020502050302 Asaph Run"
"3","Baker.LeftAsaph","Blacknose Dace",70,3.4,0.531478917,1.84509804,"7/16/2024","020502050302 Asaph Run"
"4","Baker.LeftAsaph","Blacknose Dace",43,0.52,-0.283996656,1.633468456,"7/16/2024","020502050302 Asaph Run"
"5","Baker.LeftAsaph","Blacknose Dace",46,0.75,-0.124938737,1.662757832,"7/16/2024","020502050302 Asaph Run"
"6","Baker.LeftAsaph","Blacknose Dace",68,2.68,0.428134794,1.832508913,"7/16/2024","020502050302 Asaph Run"
"7","Baker.LeftAsaph","Blacknose Dace",64,2.13,0.328379603,1.806179974,"7/16/2024","020502050302 Asaph Run"
"8","Baker.LeftAsaph","Blacknose Dace",60,1.86,0.269512944,1.77815125,"7/16/2024","020502050302 Asaph Run"
"9","Baker.LeftAsaph","Blacknose Dace",40,0.52,-0.283996656,1.602059991,"7/16/2024","020502050302 Asaph Run"
"10","Baker.LeftAsaph","Blacknose Dace",59,1.59,0.201397124,1.770852012,"7/16/2024","020502050302 Asaph Run"
"11","Baker.LeftAsaph","Blacknose Dace",63,1.94,0.28780173,1.799340549,"7/16/2024","020502050302 Asaph Run"
"12","Baker.LeftAsaph","Blacknose Dace",59,1.63,0.212187604,1.770852012,"7/16/2024","020502050302 Asaph Run"
"13","Baker.LeftAsaph","Blacknose Dace",40,0.53,-0.27572413,1.602059991,"7/16/2024","020502050302 Asaph Run"
"14","Bonnel.Pine","Blacknose Dace",65,3.3,0.51851394,1.812913357,"7/14/2022","020502050604 Mill Run-Pine Creek"
"15","Bonnel.Pine","Blacknose Dace",55,1.2,0.079181246,1.740362689,"7/14/2022","020502050604 Mill Run-Pine Creek"
"16","Buck.Cedar","Blacknose Dace",49,1,0,1.69019608,"7/11/2023","020502050602 Cedar Run"
"17","Buck.Cedar","Blacknose Dace",60,1.9,0.278753601,1.77815125,"7/11/2023","020502050602 Cedar Run"
"18","Buck.Cedar","Blacknose Dace",77,4.4,0.643452676,1.886490725,"7/11/2023","020502050602 Cedar Run"
"19","Buck.Cedar","Blacknose Dace",44,0.7,-0.15490196,1.643452676,"7/11/2023","020502050602 Cedar Run"
"20","Buck.Cedar","Blacknose Dace",58,1.8,0.255272505,1.763427994,"7/11/2023","020502050602 Cedar Run"
"21","Buck.Cedar","Blacknose Dace",45,0.8,-0.096910013,1.653212514,"7/11/2023","020502050602 Cedar Run"
"22","Buck.Cedar","Blacknose Dace",48,0.9,-0.045757491,1.681241237,"7/11/2023","020502050602 Cedar Run"
"23","Buck.Cedar","Blacknose Dace",48,0.8,-0.096910013,1.681241237,"7/11/2023","020502050602 Cedar Run"
"24","Buck.Cedar","Blacknose Dace",59,1.8,0.255272505,1.770852012,"7/11/2023","020502050602 Cedar Run"
"25","Buck.Cedar","Blacknose Dace",62,2.1,0.322219295,1.792391689,"7/11/2023","020502050602 Cedar Run"
"26","Buck.Cedar","Blacknose Dace",52,1.1,0.041392685,1.716003344,"7/11/2023","020502050602 Cedar Run"
"27","Buck.Cedar","Blacknose Dace",82,5.3,0.72427587,1.913813852,"7/11/2023","020502050602 Cedar Run"
"28","Buck.Cedar","Blacknose Dace",37,0.4,-0.397940009,1.568201724,"7/11/2023","020502050602 Cedar Run"
"29","Buck.Cedar","Blacknose Dace",41,0.8,-0.096910013,1.612783857,"7/11/2023","020502050602 Cedar Run"
"30","Buck.Cedar","Blacknose Dace",43,0.6,-0.22184875,1.633468456,"7/11/2023","020502050602 Cedar Run"
"31","Buck.Cedar","Blacknose Dace",83,5.7,0.755874856,1.919078092,"7/11/2023","020502050602 Cedar Run"
"32","Buck.Cedar","Blacknose Dace",45,0.8,-0.096910013,1.653212514,"7/11/2023","020502050602 Cedar Run"
"33","Buck.Cedar","Blacknose Dace",64,2.2,0.342422681,1.806179974,"7/11/2023","020502050602 Cedar Run"
"34","Buck.Cedar","Blacknose Dace",62,2,0.301029996,1.792391689,"7/11/2023","020502050602 Cedar Run"
"35","Buck.Cedar","Blacknose Dace",44,0.7,-0.15490196,1.643452676,"7/11/2023","020502050602 Cedar Run"
"36","Buck.Cedar","Blacknose Dace",62,1.8,0.255272505,1.792391689,"7/11/2023","020502050602 Cedar Run"
"37","Buck.Cedar","Blacknose Dace",61,2,0.301029996,1.785329835,"7/11/2023","020502050602 Cedar Run"
"38","Buck.Cedar","Blacknose Dace",92,5.5,0.740362689,1.963787827,"7/11/2023","020502050602 Cedar Run"
"39","Coal.Loyalsock","Blacknose Dace",75,3.5,0.544068044,1.875061263,"6/30/2022","020502060304 Little Loyalsock Creek-Loyalsock Creek"
"40","Coal.Loyalsock","Blacknose Dace",49,0.94,-0.026872146,1.69019608,"6/24/2025","020502060304 Little Loyalsock Creek-Loyalsock Creek"
"41","Coal.Loyalsock","Blacknose Dace",46,0.8,-0.096910013,1.662757832,"6/24/2025","020502060304 Little Loyalsock Creek-Loyalsock Creek"
"42","CR0-SY","Blacknose Dace",54,1.4,0.146128036,1.73239376,"6/3/2022","020502061005 Buffalo Creek"
"43","CR0-SY","Blacknose Dace",68,3.4,0.531478917,1.832508913,"6/3/2022","020502061005 Buffalo Creek"
"44","CR0-SY","Blacknose Dace",59,2.1,0.322219295,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"45","CR0-SY","Blacknose Dace",67,2.5,0.397940009,1.826074803,"6/3/2022","020502061005 Buffalo Creek"
"46","CR0-SY","Blacknose Dace",57,2,0.301029996,1.755874856,"6/3/2022","020502061005 Buffalo Creek"
"47","CR0-SY","Blacknose Dace",59,1.9,0.278753601,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"48","CR0-SY","Blacknose Dace",52,1.5,0.176091259,1.716003344,"6/3/2022","020502061005 Buffalo Creek"
"49","CR0-SY","Blacknose Dace",41,0.4,-0.397940009,1.612783857,"6/3/2022","020502061005 Buffalo Creek"
"50","CR0-SY","Blacknose Dace",43,0.7,-0.15490196,1.633468456,"6/3/2022","020502061005 Buffalo Creek"
"51","CR0-SY","Blacknose Dace",63,2.6,0.414973348,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"52","CR0-SY","Blacknose Dace",54,1.4,0.146128036,1.73239376,"6/3/2022","020502061005 Buffalo Creek"
"53","CR0-SY","Blacknose Dace",60,2.5,0.397940009,1.77815125,"6/3/2022","020502061005 Buffalo Creek"
"54","CR0-SY","Blacknose Dace",64,2.6,0.414973348,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"55","CR0-SY","Blacknose Dace",64,3.1,0.491361694,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"56","CR0-SY","Blacknose Dace",43,0.7,-0.15490196,1.633468456,"6/3/2022","020502061005 Buffalo Creek"
"57","CR0-SY","Blacknose Dace",52,1.4,0.146128036,1.716003344,"6/3/2022","020502061005 Buffalo Creek"
"58","CR0-SY","Blacknose Dace",64,2.8,0.447158031,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"59","CR0-SY","Blacknose Dace",69,3.2,0.505149978,1.838849091,"6/3/2022","020502061005 Buffalo Creek"
"60","CR0-SY","Blacknose Dace",63,2.7,0.431363764,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"61","CR0-SY","Blacknose Dace",56,1.9,0.278753601,1.748188027,"6/3/2022","020502061005 Buffalo Creek"
"62","CR0-SY","Blacknose Dace",57,1.8,0.255272505,1.755874856,"6/3/2022","020502061005 Buffalo Creek"
"63","CR0-SY","Blacknose Dace",59,2.1,0.322219295,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"64","CR0-SY","Blacknose Dace",65,2.5,0.397940009,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"65","CR0-SY","Blacknose Dace",78,5.2,0.716003344,1.892094603,"6/3/2022","020502061005 Buffalo Creek"
"66","CR0-SY","Blacknose Dace",75,7.5,0.875061263,1.875061263,"6/5/2023","020502061005 Buffalo Creek"
"67","CR0-SY","Blacknose Dace",42,0.5,-0.301029996,1.62324929,"6/5/2023","020502061005 Buffalo Creek"
"68","CR0-SY","Blacknose Dace",54,1.8,0.255272505,1.73239376,"6/5/2023","020502061005 Buffalo Creek"
"69","CR0-SY","Blacknose Dace",53,2.3,0.361727836,1.72427587,"6/5/2023","020502061005 Buffalo Creek"
"70","CR0-SY","Blacknose Dace",64,2.5,0.397940009,1.806179974,"6/5/2023","020502061005 Buffalo Creek"
"71","CR0-SY","Blacknose Dace",61,2.1,0.322219295,1.785329835,"6/5/2023","020502061005 Buffalo Creek"
"72","CR0-SY","Blacknose Dace",60,3.7,0.568201724,1.77815125,"6/5/2023","020502061005 Buffalo Creek"
"73","CR0-SY","Blacknose Dace",58,1.9,0.278753601,1.763427994,"6/5/2023","020502061005 Buffalo Creek"
"74","CR0-SY","Blacknose Dace",42,0.6,-0.22184875,1.62324929,"6/5/2023","020502061005 Buffalo Creek"
"75","CR0-SY","Blacknose Dace",61,2,0.301029996,1.785329835,"6/5/2023","020502061005 Buffalo Creek"
"76","CR0-SY","Blacknose Dace",33,0.3,-0.522878745,1.51851394,"6/5/2023","020502061005 Buffalo Creek"
"77","CR0-SY","Blacknose Dace",71,3.5,0.544068044,1.851258349,"6/5/2023","020502061005 Buffalo Creek"
"78","CR0-SY","Blacknose Dace",44,0.7,-0.15490196,1.643452676,"6/5/2023","020502061005 Buffalo Creek"
"79","CR0-SY","Blacknose Dace",65,2.8,0.447158031,1.812913357,"6/5/2023","020502061005 Buffalo Creek"
"80","CR0-SY","Blacknose Dace",39,0.5,-0.301029996,1.591064607,"6/5/2023","020502061005 Buffalo Creek"
"81","CR0-SY","Blacknose Dace",69,1.9,0.278753601,1.838849091,"6/5/2023","020502061005 Buffalo Creek"
"82","CR0-SY","Blacknose Dace",65,2.3,0.361727836,1.812913357,"6/5/2023","020502061005 Buffalo Creek"
"83","CR0-SY","Blacknose Dace",67,2.9,0.462397998,1.826074803,"6/5/2023","020502061005 Buffalo Creek"
"84","CR0-SY","Blacknose Dace",37,0.6,-0.22184875,1.568201724,"6/5/2023","020502061005 Buffalo Creek"
"85","CR0-SY","Blacknose Dace",67,2.8,0.447158031,1.826074803,"6/5/2023","020502061005 Buffalo Creek"
"86","CR0-SY","Blacknose Dace",54,1.7,0.230448921,1.73239376,"6/5/2023","020502061005 Buffalo Creek"
"87","CR0-SY","Blacknose Dace",35,0.5,-0.301029996,1.544068044,"6/5/2023","020502061005 Buffalo Creek"
"88","CR0-SY","Blacknose Dace",47,0.6,-0.22184875,1.672097858,"6/5/2023","020502061005 Buffalo Creek"
"89","CR0-SY","Blacknose Dace",72,5.9,0.770852012,1.857332496,"6/5/2023","020502061005 Buffalo Creek"
"90","CR0-SY","Blacknose Dace",60,2.4,0.380211242,1.77815125,"6/5/2023","020502061005 Buffalo Creek"
"91","CR0-SY","Blacknose Dace",62,2.8,0.447158031,1.792391689,"6/5/2023","020502061005 Buffalo Creek"
"92","CR0-SY","Blacknose Dace",71,3.1,0.491361694,1.851258349,"6/5/2023","020502061005 Buffalo Creek"
"93","CR0-SY","Blacknose Dace",45,0.8,-0.096910013,1.653212514,"6/5/2023","020502061005 Buffalo Creek"
"94","Darling.Pine","Blacknose Dace",66,2.6,0.414973348,1.819543936,"7/18/2022","020502050601 Trout Run-Pine Creek"
"95","Darling.Pine","Blacknose Dace",62,2.1,0.322219295,1.792391689,"7/18/2022","020502050601 Trout Run-Pine Creek"
"96","Darling.Pine","Blacknose Dace",69,3,0.477121255,1.838849091,"7/18/2022","020502050601 Trout Run-Pine Creek"
"97","Darling.Pine","Blacknose Dace",68,2.8,0.447158031,1.832508913,"7/18/2022","020502050601 Trout Run-Pine Creek"
"98","Darling.Pine","Blacknose Dace",75,3.5,0.544068044,1.875061263,"7/18/2022","020502050601 Trout Run-Pine Creek"
"99","Darling.Pine","Blacknose Dace",68,2.6,0.414973348,1.832508913,"7/18/2022","020502050601 Trout Run-Pine Creek"
"100","Darling.Pine","Blacknose Dace",77,4,0.602059991,1.886490725,"7/18/2022","020502050601 Trout Run-Pine Creek"
"101","Darling.Pine","Blacknose Dace",73,3.7,0.568201724,1.86332286,"7/18/2022","020502050601 Trout Run-Pine Creek"
"102","Darling.Pine","Blacknose Dace",65,3,0.477121255,1.812913357,"7/18/2022","020502050601 Trout Run-Pine Creek"
"103","Darling.Pine","Blacknose Dace",74,3.6,0.556302501,1.86923172,"7/18/2022","020502050601 Trout Run-Pine Creek"
"104","Darling.Pine","Blacknose Dace",70,3.4,0.531478917,1.84509804,"7/18/2022","020502050601 Trout Run-Pine Creek"
"105","Darling.Pine","Blacknose Dace",63,2.32,0.365487985,1.799340549,"7/8/2025","020502050601 Trout Run-Pine Creek"
"106","Darling.Pine","Blacknose Dace",62,3.64,0.561101384,1.792391689,"7/8/2025","020502050601 Trout Run-Pine Creek"
"107","Darling.Pine","Blacknose Dace",74,3.8,0.579783597,1.86923172,"7/18/2022","020502050601 Trout Run-Pine Creek"
"108","Darling.Pine","Blacknose Dace",64,2.3,0.361727836,1.806179974,"7/18/2022","020502050601 Trout Run-Pine Creek"
"109","Darling.Pine","Blacknose Dace",62,2,0.301029996,1.792391689,"7/18/2022","020502050601 Trout Run-Pine Creek"
"110","Darling.Pine","Blacknose Dace",44,0.65,-0.187086643,1.643452676,"7/8/2025","020502050601 Trout Run-Pine Creek"
"111","Darling.Pine","Blacknose Dace",66,2.64,0.421603927,1.819543936,"7/8/2025","020502050601 Trout Run-Pine Creek"
"112","Darling.Pine","Blacknose Dace",60,1.75,0.243038049,1.77815125,"7/8/2025","020502050601 Trout Run-Pine Creek"
"113","Darling.Pine","Blacknose Dace",73,3.17,0.501059262,1.86332286,"7/8/2025","020502050601 Trout Run-Pine Creek"
"114","Darling.Pine","Blacknose Dace",73,3.9,0.591064607,1.86332286,"7/18/2022","020502050601 Trout Run-Pine Creek"
"115","Darling.Pine","Blacknose Dace",77,3.7,0.568201724,1.886490725,"7/18/2022","020502050601 Trout Run-Pine Creek"
"116","Darling.Pine","Blacknose Dace",69,2.8,0.447158031,1.838849091,"7/18/2022","020502050601 Trout Run-Pine Creek"
"117","Darling.Pine","Blacknose Dace",64,2.3,0.361727836,1.806179974,"7/18/2022","020502050601 Trout Run-Pine Creek"
"118","Darling.Pine","Blacknose Dace",56,1.4,0.146128036,1.748188027,"7/18/2022","020502050601 Trout Run-Pine Creek"
"119","Darling.Pine","Blacknose Dace",71,3.2,0.505149978,1.851258349,"7/18/2022","020502050601 Trout Run-Pine Creek"
"120","Darling.Pine","Blacknose Dace",65,2.4,0.380211242,1.812913357,"7/18/2022","020502050601 Trout Run-Pine Creek"
"121","Darling.Pine","Blacknose Dace",73,3.2,0.505149978,1.86332286,"7/18/2022","020502050601 Trout Run-Pine Creek"
"122","Darling.Pine","Blacknose Dace",69,2.9,0.462397998,1.838849091,"7/18/2022","020502050601 Trout Run-Pine Creek"
"123","Darling.Pine","Blacknose Dace",86,5.8,0.763427994,1.934498451,"7/18/2022","020502050601 Trout Run-Pine Creek"
"124","Darling.Pine","Blacknose Dace",67,2.43,0.385606274,1.826074803,"7/8/2025","020502050601 Trout Run-Pine Creek"
"125","Darling.Pine","Blacknose Dace",42,0.81,-0.091514981,1.62324929,"7/8/2025","020502050601 Trout Run-Pine Creek"
"126","Darling.Pine","Blacknose Dace",64,2.45,0.389166084,1.806179974,"7/8/2025","020502050601 Trout Run-Pine Creek"
"127","Darling.Pine","Blacknose Dace",60,1.9,0.278753601,1.77815125,"7/18/2022","020502050601 Trout Run-Pine Creek"
"128","Darling.Pine","Blacknose Dace",68,2.8,0.447158031,1.832508913,"7/18/2022","020502050601 Trout Run-Pine Creek"
"129","Darling.Pine","Blacknose Dace",80,5.1,0.707570176,1.903089987,"7/18/2022","020502050601 Trout Run-Pine Creek"
"130","Darling.Pine","Blacknose Dace",56,1.5,0.176091259,1.748188027,"7/18/2022","020502050601 Trout Run-Pine Creek"
"131","Darling.Pine","Blacknose Dace",65,2.6,0.414973348,1.812913357,"7/18/2022","020502050601 Trout Run-Pine Creek"
"132","Darling.Pine","Blacknose Dace",55,1.59,0.201397124,1.740362689,"7/8/2025","020502050601 Trout Run-Pine Creek"
"133","Darling.Pine","Blacknose Dace",77,3.62,0.558708571,1.886490725,"7/8/2025","020502050601 Trout Run-Pine Creek"
"134","Darling.Pine","Blacknose Dace",60,1.95,0.290034611,1.77815125,"7/8/2025","020502050601 Trout Run-Pine Creek"
"135","Darling.Pine","Blacknose Dace",66,2.62,0.418301291,1.819543936,"7/8/2025","020502050601 Trout Run-Pine Creek"
"136","Darling.Pine","Blacknose Dace",82,4.78,0.679427897,1.913813852,"7/8/2025","020502050601 Trout Run-Pine Creek"
"137","Darling.Pine","Blacknose Dace",60,1.81,0.257678575,1.77815125,"7/8/2025","020502050601 Trout Run-Pine Creek"
"138","Darling.Pine","Blacknose Dace",62,2.62,0.418301291,1.792391689,"7/8/2025","020502050601 Trout Run-Pine Creek"
"139","Darling.Pine","Blacknose Dace",64,2.12,0.326335861,1.806179974,"7/8/2025","020502050601 Trout Run-Pine Creek"
"140","Darling.Pine","Blacknose Dace",80,3.87,0.587710965,1.903089987,"7/8/2025","020502050601 Trout Run-Pine Creek"
"141","Darling.Pine","Blacknose Dace",69,2.77,0.442479769,1.838849091,"7/8/2025","020502050601 Trout Run-Pine Creek"
"142","Darling.Pine","Blacknose Dace",65,2.72,0.434568904,1.812913357,"7/8/2025","020502050601 Trout Run-Pine Creek"
