"","SiteCode","Species","Length_mm","Wt_g","logW","logL","Date","HUC12Watershed"
"1","CR0-SY","Creek Chub",78,5,0.698970004,1.892094603,"6/3/2022","020502061005 Buffalo Creek"
"2","CR0-SY","Creek Chub",91,9.4,0.973127854,1.959041392,"6/3/2022","020502061005 Buffalo Creek"
"3","CR0-SY","Creek Chub",82,5.7,0.755874856,1.913813852,"6/3/2022","020502061005 Buffalo Creek"
"4","CR0-SY","Creek Chub",90,7.7,0.886490725,1.954242509,"6/3/2022","020502061005 Buffalo Creek"
"5","CR0-SY","Creek Chub",82,8.1,0.908485019,1.913813852,"6/3/2022","020502061005 Buffalo Creek"
"6","CR0-SY","Creek Chub",96,8.7,0.939519253,1.982271233,"6/3/2022","020502061005 Buffalo Creek"
"7","CR0-SY","Creek Chub",47,1.1,0.041392685,1.672097858,"6/3/2022","020502061005 Buffalo Creek"
"8","CR0-SY","Creek Chub",39,0.7,-0.15490196,1.591064607,"6/3/2022","020502061005 Buffalo Creek"
"9","CR0-SY","Creek Chub",61,2.6,0.414973348,1.785329835,"6/3/2022","020502061005 Buffalo Creek"
"10","CR0-SY","Creek Chub",78,4.8,0.681241237,1.892094603,"6/3/2022","020502061005 Buffalo Creek"
"11","CR0-SY","Creek Chub",77,6.7,0.826074803,1.886490725,"6/3/2022","020502061005 Buffalo Creek"
"12","CR0-SY","Creek Chub",80,5.8,0.763427994,1.903089987,"6/5/2023","020502061005 Buffalo Creek"
"13","CR0-SY","Creek Chub",86,7.1,0.851258349,1.934498451,"6/5/2023","020502061005 Buffalo Creek"
"14","CR0-SY","Creek Chub",69,3.1,0.491361694,1.838849091,"6/5/2023","020502061005 Buffalo Creek"
"15","CR0-SY","Creek Chub",101,9.3,0.968482949,2.004321374,"6/5/2023","020502061005 Buffalo Creek"
"16","CR0-SY","Creek Chub",48,1,0,1.681241237,"6/5/2023","020502061005 Buffalo Creek"
"17","CR0-SY","Creek Chub",89,8,0.903089987,1.949390007,"6/5/2023","020502061005 Buffalo Creek"
"18","CR0-SY","Creek Chub",135,28.6,1.456366033,2.130333768,"6/5/2023","020502061005 Buffalo Creek"
"19","CR0-SY","Creek Chub",157,48.5,1.685741739,2.195899652,"6/5/2023","020502061005 Buffalo Creek"
"20","EC0-ML","Creek Chub",111,14.8,1.170261715,2.045322979,"6/6/2022","020503010201 Elk Creek"
"21","EC0-ML","Creek Chub",66,3.4,0.531478917,1.819543936,"6/6/2022","020503010201 Elk Creek"
"22","EC0-ML","Creek Chub",84,7.8,0.892094603,1.924279286,"6/6/2022","020503010201 Elk Creek"
"23","EC0-ML","Creek Chub",74,4.7,0.672097858,1.86923172,"6/6/2022","020503010201 Elk Creek"
"24","EC0-ML","Creek Chub",58,2.1,0.322219295,1.763427994,"6/6/2022","020503010201 Elk Creek"
"25","EC0-ML","Creek Chub",50,1.8,0.255272505,1.698970004,"6/6/2022","020503010201 Elk Creek"
"26","EC0-ML","Creek Chub",75,5,0.698970004,1.875061263,"6/6/2022","020503010201 Elk Creek"
"27","EC0-ML","Creek Chub",53,1.8,0.255272505,1.72427587,"6/6/2022","020503010201 Elk Creek"
"28","EC0-ML","Creek Chub",75,4.5,0.653212514,1.875061263,"6/6/2022","020503010201 Elk Creek"
"29","EC0-ML","Creek Chub",55,3.5,0.544068044,1.740362689,"6/6/2022","020503010201 Elk Creek"
"30","EC0-ML","Creek Chub",78,5.7,0.755874856,1.892094603,"6/6/2022","020503010201 Elk Creek"
"31","EC0-ML","Creek Chub",66,3.6,0.556302501,1.819543936,"6/6/2022","020503010201 Elk Creek"
"32","EC0-ML","Creek Chub",66,3.3,0.51851394,1.819543936,"6/6/2022","020503010201 Elk Creek"
"33","EC0-ML","Creek Chub",52,1.5,0.176091259,1.716003344,"6/6/2022","020503010201 Elk Creek"
"34","EC0-ML","Creek Chub",145,41.4,1.617000341,2.161368002,"6/6/2022","020503010201 Elk Creek"
"35","EC0-ML","Creek Chub",125,18.9,1.276461804,2.096910013,"6/6/2022","020503010201 Elk Creek"
"36","EC0-ML","Creek Chub",73,4.9,0.69019608,1.86332286,"6/6/2022","020503010201 Elk Creek"
"37","EC0-ML","Creek Chub",77,6,0.77815125,1.886490725,"6/6/2022","020503010201 Elk Creek"
"38","EC0-ML","Creek Chub",228,146.8,2.166726056,2.357934847,"6/6/2022","020503010201 Elk Creek"
"39","EC0-ML","Creek Chub",63,2.9,0.462397998,1.799340549,"6/6/2022","020503010201 Elk Creek"
"40","EC0-ML","Creek Chub",76,6.3,0.799340549,1.880813592,"6/6/2022","020503010201 Elk Creek"
"41","EC0-ML","Creek Chub",46,1.1,0.041392685,1.662757832,"6/6/2022","020503010201 Elk Creek"
"42","EC0-ML","Creek Chub",41,0.6,-0.22184875,1.612783857,"6/6/2022","020503010201 Elk Creek"
"43","EC0-ML","Creek Chub",70,3.8,0.579783597,1.84509804,"6/6/2022","020503010201 Elk Creek"
"44","EC0-ML","Creek Chub",142,38.3,1.583198774,2.152288344,"6/6/2022","020503010201 Elk Creek"
"45","EC0-ML","Creek Chub",47,0.7,-0.15490196,1.672097858,"6/6/2022","020503010201 Elk Creek"
"46","EC0-ML","Creek Chub",79,6.4,0.806179974,1.897627091,"6/6/2022","020503010201 Elk Creek"
"47","EC0-ML","Creek Chub",89,8.1,0.908485019,1.949390007,"6/6/2022","020503010201 Elk Creek"
"48","EC0-ML","Creek Chub",85,7.1,0.851258349,1.929418926,"6/6/2022","020503010201 Elk Creek"
"49","EC0-ML","Creek Chub",78,5.5,0.740362689,1.892094603,"6/6/2022","020503010201 Elk Creek"
"50","EC0-NF","Creek Chub",91,7.7,0.886490725,1.959041392,"6/9/2022","020503010201 Elk Creek"
"51","EC0-NF","Creek Chub",49,1.1,0.041392685,1.69019608,"6/9/2022","020503010201 Elk Creek"
"52","EC0-NF","Creek Chub",55,2,0.301029996,1.740362689,"6/9/2022","020503010201 Elk Creek"
"53","EC0-NF","Creek Chub",47,0.9,-0.045757491,1.672097858,"6/9/2022","020503010201 Elk Creek"
"54","EC0-NF","Creek Chub",57,1.5,0.176091259,1.755874856,"6/9/2022","020503010201 Elk Creek"
"55","EC0-NF","Creek Chub",58,0.9,-0.045757491,1.763427994,"6/9/2022","020503010201 Elk Creek"
"56","EC0-NF","Creek Chub",57,1.8,0.255272505,1.755874856,"6/9/2022","020503010201 Elk Creek"
"57","EC0-NF","Creek Chub",45,0.8,-0.096910013,1.653212514,"6/9/2022","020503010201 Elk Creek"
"58","EC0-NF","Creek Chub",57,1.9,0.278753601,1.755874856,"6/9/2022","020503010201 Elk Creek"
"59","EC0-NF","Creek Chub",87,7.9,0.897627091,1.939519253,"6/9/2022","020503010201 Elk Creek"
"60","EC0-NF","Creek Chub",91,7.7,0.886490725,1.959041392,"6/9/2022","020503010201 Elk Creek"
"61","EC0-NF","Creek Chub",81,6.2,0.792391689,1.908485019,"6/9/2022","020503010201 Elk Creek"
"62","EC0-NF","Creek Chub",60,2.4,0.380211242,1.77815125,"6/9/2022","020503010201 Elk Creek"
"63","EC0-NF","Creek Chub",57,1.7,0.230448921,1.755874856,"6/9/2022","020503010201 Elk Creek"
"64","EC0-NF","Creek Chub",86,6.8,0.832508913,1.934498451,"6/9/2022","020503010201 Elk Creek"
"65","EC0-NF","Creek Chub",48,0.8,-0.096910013,1.681241237,"6/9/2022","020503010201 Elk Creek"
"66","EC0-NF","Creek Chub",57,1.8,0.255272505,1.755874856,"6/9/2022","020503010201 Elk Creek"
"67","EC0-NF","Creek Chub",85,6.8,0.832508913,1.929418926,"6/9/2022","020503010201 Elk Creek"
"68","EC0-NF","Creek Chub",57,1.9,0.278753601,1.755874856,"6/9/2022","020503010201 Elk Creek"
"69","EC0-NF","Creek Chub",50,0.9,-0.045757491,1.698970004,"6/9/2022","020503010201 Elk Creek"
"70","EC0-NF","Creek Chub",47,1.1,0.041392685,1.672097858,"6/9/2022","020503010201 Elk Creek"
"71","EC0-NF","Creek Chub",81,5.6,0.748188027,1.908485019,"6/9/2022","020503010201 Elk Creek"
"72","EC0-NF","Creek Chub",109,15.9,1.201397124,2.037426498,"6/9/2022","020503010201 Elk Creek"
"73","EC0-NF","Creek Chub",59,2,0.301029996,1.770852012,"6/9/2022","020503010201 Elk Creek"
"74","EC0-NF","Creek Chub",87,7.1,0.851258349,1.939519253,"6/9/2022","020503010201 Elk Creek"
"75","EC0-NF","Creek Chub",55,1.7,0.230448921,1.740362689,"6/9/2022","020503010201 Elk Creek"
"76","EC0-NF","Creek Chub",56,1.7,0.230448921,1.748188027,"6/9/2022","020503010201 Elk Creek"
"77","EC0-NF","Creek Chub",132,27.7,1.442479769,2.120573931,"6/9/2022","020503010201 Elk Creek"
"78","EC0-NF","Creek Chub",86,7.4,0.86923172,1.934498451,"6/9/2022","020503010201 Elk Creek"
"79","EC0-PH","Creek Chub",45,0.9,-0.045757491,1.653212514,"6/6/2022","020503010201 Elk Creek"
"80","EC0-PH","Creek Chub",75,5.8,0.763427994,1.875061263,"6/6/2022","020503010201 Elk Creek"
"81","EC0-PH","Creek Chub",59,2.4,0.380211242,1.770852012,"6/6/2022","020503010201 Elk Creek"
"82","EC0-PH","Creek Chub",47,1.3,0.113943352,1.672097858,"6/6/2022","020503010201 Elk Creek"
"83","EC0-PH","Creek Chub",203,123.6,2.092018471,2.307496038,"6/6/2022","020503010201 Elk Creek"
"84","EC0-PH","Creek Chub",55,1.9,0.278753601,1.740362689,"6/6/2022","020503010201 Elk Creek"
"85","EC0-PH","Creek Chub",40,0.7,-0.15490196,1.602059991,"6/6/2022","020503010201 Elk Creek"
"86","EC0-PH","Creek Chub",47,0.9,-0.045757491,1.672097858,"6/6/2022","020503010201 Elk Creek"
"87","EC0-PH","Creek Chub",44,0.7,-0.15490196,1.643452676,"6/6/2022","020503010201 Elk Creek"
"88","EC0-PH","Creek Chub",45,0.8,-0.096910013,1.653212514,"6/6/2022","020503010201 Elk Creek"
"89","EC0-PH","Creek Chub",111,17.4,1.240549248,2.045322979,"6/6/2022","020503010201 Elk Creek"
"90","EC0-PH","Creek Chub",84,7,0.84509804,1.924279286,"6/6/2022","020503010201 Elk Creek"
"91","EC0-PH","Creek Chub",52,1.4,0.146128036,1.716003344,"6/6/2022","020503010201 Elk Creek"
"92","EC0-PH","Creek Chub",47,1.3,0.113943352,1.672097858,"6/6/2022","020503010201 Elk Creek"
"93","EC0-PH","Creek Chub",63,2.8,0.447158031,1.799340549,"6/6/2022","020503010201 Elk Creek"
"94","EC0-PH","Creek Chub",73,4.2,0.62324929,1.86332286,"6/6/2022","020503010201 Elk Creek"
"95","EC0-PH","Creek Chub",46,1.1,0.041392685,1.662757832,"6/6/2022","020503010201 Elk Creek"
"96","EC0-PH","Creek Chub",45,1.1,0.041392685,1.653212514,"6/6/2022","020503010201 Elk Creek"
"97","EC0-PH","Creek Chub",111,19.2,1.283301229,2.045322979,"6/6/2022","020503010201 Elk Creek"
"98","EC0-PH","Creek Chub",59,2.8,0.447158031,1.770852012,"6/6/2022","020503010201 Elk Creek"
"99","EC0-PH","Creek Chub",41,0.8,-0.096910013,1.612783857,"6/6/2022","020503010201 Elk Creek"
"100","EC0-PH","Creek Chub",47,1.2,0.079181246,1.672097858,"6/6/2022","020503010201 Elk Creek"
"101","EC0-PH","Creek Chub",85,8,0.903089987,1.929418926,"6/6/2022","020503010201 Elk Creek"
"102","EC0-PH","Creek Chub",78,5.7,0.755874856,1.892094603,"6/6/2022","020503010201 Elk Creek"
"103","EC0-PH","Creek Chub",71,4,0.602059991,1.851258349,"6/6/2022","020503010201 Elk Creek"
"104","EC0-PH","Creek Chub",48,1.1,0.041392685,1.681241237,"6/6/2022","020503010201 Elk Creek"
"105","EC0-PH","Creek Chub",98,12.4,1.093421685,1.991226076,"6/6/2022","020503010201 Elk Creek"
"106","EC0-PH","Creek Chub",225,146.1,2.164650216,2.352182518,"6/6/2022","020503010201 Elk Creek"
"107","EC0-PH","Creek Chub",59,2.4,0.380211242,1.770852012,"6/6/2022","020503010201 Elk Creek"
"108","EC0-PH","Creek Chub",46,0.1,-1,1.662757832,"6/6/2022","020503010201 Elk Creek"
"109","EC0-SF","Creek Chub",91,8.8,0.944482672,1.959041392,"6/7/2022","020503010201 Elk Creek"
"110","EC0-SF","Creek Chub",44,0.9,-0.045757491,1.643452676,"6/7/2022","020503010201 Elk Creek"
"111","EC0-SF","Creek Chub",114,13.5,1.130333768,2.056904851,"6/7/2022","020503010201 Elk Creek"
