"","SiteCode","Species","Length_mm","Wt_g","logW","logL","Date","HUC12Watershed"
"1","Baker.LeftAsaph","Longnose Dace",83,4.4,0.643452676,1.919078092,"7/16/2024","020502050302 Asaph Run"
"2","Baker.LeftAsaph","Longnose Dace",100,10,1,2,"7/16/2024","020502050302 Asaph Run"
"3","Baker.LeftAsaph","Longnose Dace",131,27.7,1.442479769,2.117271296,"7/16/2024","020502050302 Asaph Run"
"4","Bonnel.Pine","Longnose Dace",81,4.6,0.662757832,1.908485019,"7/14/2022","020502050604 Mill Run-Pine Creek"
"5","Bonnel.Pine","Longnose Dace",67,2.9,0.462397998,1.826074803,"7/14/2022","020502050604 Mill Run-Pine Creek"
"6","Bonnel.Pine","Longnose Dace",69,3.1,0.491361694,1.838849091,"7/14/2022","020502050604 Mill Run-Pine Creek"
"7","CR0-SY","Longnose Dace",53,1.4,0.146128036,1.72427587,"6/3/2022","020502061005 Buffalo Creek"
"8","CR0-SY","Longnose Dace",86,5.8,0.763427994,1.934498451,"6/3/2022","020502061005 Buffalo Creek"
"9","CR0-SY","Longnose Dace",53,1.6,0.204119983,1.72427587,"6/3/2022","020502061005 Buffalo Creek"
"10","CR0-SY","Longnose Dace",81,5.2,0.716003344,1.908485019,"6/3/2022","020502061005 Buffalo Creek"
"11","CR0-SY","Longnose Dace",63,2.3,0.361727836,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"12","CR0-SY","Longnose Dace",48,1,0,1.681241237,"6/3/2022","020502061005 Buffalo Creek"
"13","CR0-SY","Longnose Dace",85,6.1,0.785329835,1.929418926,"6/3/2022","020502061005 Buffalo Creek"
"14","CR0-SY","Longnose Dace",65,2.7,0.431363764,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"15","CR0-SY","Longnose Dace",80,4.8,0.681241237,1.903089987,"6/3/2022","020502061005 Buffalo Creek"
"16","CR0-SY","Longnose Dace",65,3.3,0.51851394,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"17","CR0-SY","Longnose Dace",58,1.9,0.278753601,1.763427994,"6/3/2022","020502061005 Buffalo Creek"
"18","CR0-SY","Longnose Dace",52,1.4,0.146128036,1.716003344,"6/3/2022","020502061005 Buffalo Creek"
"19","CR0-SY","Longnose Dace",60,1.8,0.255272505,1.77815125,"6/3/2022","020502061005 Buffalo Creek"
"20","CR0-SY","Longnose Dace",86,6.2,0.792391689,1.934498451,"6/3/2022","020502061005 Buffalo Creek"
"21","CR0-SY","Longnose Dace",83,7.5,0.875061263,1.919078092,"6/3/2022","020502061005 Buffalo Creek"
"22","CR0-SY","Longnose Dace",65,2.6,0.414973348,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"23","CR0-SY","Longnose Dace",93,8.7,0.939519253,1.968482949,"6/3/2022","020502061005 Buffalo Creek"
"24","CR0-SY","Longnose Dace",71,3.6,0.556302501,1.851258349,"6/3/2022","020502061005 Buffalo Creek"
"25","CR0-SY","Longnose Dace",87,6.1,0.785329835,1.939519253,"6/3/2022","020502061005 Buffalo Creek"
"26","CR0-SY","Longnose Dace",65,2.6,0.414973348,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"27","CR0-SY","Longnose Dace",55,1.5,0.176091259,1.740362689,"6/3/2022","020502061005 Buffalo Creek"
"28","CR0-SY","Longnose Dace",63,2.1,0.322219295,1.799340549,"6/3/2022","020502061005 Buffalo Creek"
"29","CR0-SY","Longnose Dace",64,2.4,0.380211242,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"30","CR0-SY","Longnose Dace",65,2.9,0.462397998,1.812913357,"6/3/2022","020502061005 Buffalo Creek"
"31","CR0-SY","Longnose Dace",55,1.6,0.204119983,1.740362689,"6/3/2022","020502061005 Buffalo Creek"
"32","CR0-SY","Longnose Dace",83,5.7,0.755874856,1.919078092,"6/3/2022","020502061005 Buffalo Creek"
"33","CR0-SY","Longnose Dace",95,10,1,1.977723605,"6/3/2022","020502061005 Buffalo Creek"
"34","CR0-SY","Longnose Dace",86,7.5,0.875061263,1.934498451,"6/3/2022","020502061005 Buffalo Creek"
"35","CR0-SY","Longnose Dace",68,2.6,0.414973348,1.832508913,"6/3/2022","020502061005 Buffalo Creek"
"36","CR0-SY","Longnose Dace",68,3.2,0.505149978,1.832508913,"6/3/2022","020502061005 Buffalo Creek"
"37","CR0-SY","Longnose Dace",75,8.1,0.908485019,1.875061263,"6/5/2023","020502061005 Buffalo Creek"
"38","CR0-SY","Longnose Dace",70,3.8,0.579783597,1.84509804,"6/5/2023","020502061005 Buffalo Creek"
"39","CR0-SY","Longnose Dace",76,4.8,0.681241237,1.880813592,"6/5/2023","020502061005 Buffalo Creek"
"40","CR0-SY","Longnose Dace",61,2.1,0.322219295,1.785329835,"6/5/2023","020502061005 Buffalo Creek"
"41","CR0-SY","Longnose Dace",63,2.2,0.342422681,1.799340549,"6/5/2023","020502061005 Buffalo Creek"
"42","CR0-SY","Longnose Dace",65,6.3,0.799340549,1.812913357,"6/5/2023","020502061005 Buffalo Creek"
"43","CR0-SY","Longnose Dace",80,5.7,0.755874856,1.903089987,"6/5/2023","020502061005 Buffalo Creek"
"44","CR0-SY","Longnose Dace",71,6.4,0.806179974,1.851258349,"6/5/2023","020502061005 Buffalo Creek"
"45","CR0-SY","Longnose Dace",115,10.5,1.021189299,2.06069784,"6/5/2023","020502061005 Buffalo Creek"
"46","CR0-SY","Longnose Dace",62,2.5,0.397940009,1.792391689,"6/5/2023","020502061005 Buffalo Creek"
"47","CR0-SY","Longnose Dace",94,9.4,0.973127854,1.973127854,"6/5/2023","020502061005 Buffalo Creek"
"48","CR0-SY","Longnose Dace",60,2.2,0.342422681,1.77815125,"6/5/2023","020502061005 Buffalo Creek"
"49","CR0-SY","Longnose Dace",68,3,0.477121255,1.832508913,"6/5/2023","020502061005 Buffalo Creek"
"50","CR0-SY","Longnose Dace",68,3.1,0.491361694,1.832508913,"6/5/2023","020502061005 Buffalo Creek"
"51","CR0-SY","Longnose Dace",91,8.1,0.908485019,1.959041392,"6/5/2023","020502061005 Buffalo Creek"
"52","CR0-SY","Longnose Dace",56,1.7,0.230448921,1.748188027,"6/5/2023","020502061005 Buffalo Creek"
"53","CR0-SY","Longnose Dace",60,2.2,0.342422681,1.77815125,"6/5/2023","020502061005 Buffalo Creek"
"54","CR0-SY","Longnose Dace",73,3.4,0.531478917,1.86332286,"6/5/2023","020502061005 Buffalo Creek"
"55","CR0-SY","Longnose Dace",75,4.4,0.643452676,1.875061263,"6/5/2023","020502061005 Buffalo Creek"
"56","CR0-SY","Longnose Dace",68,3.2,0.505149978,1.832508913,"6/5/2023","020502061005 Buffalo Creek"
"57","CR0-SY","Longnose Dace",64,2.3,0.361727836,1.806179974,"6/5/2023","020502061005 Buffalo Creek"
"58","CR0-SY","Longnose Dace",61,2.3,0.361727836,1.785329835,"6/5/2023","020502061005 Buffalo Creek"
"59","CR0-SY","Longnose Dace",59,1.7,0.230448921,1.770852012,"6/5/2023","020502061005 Buffalo Creek"
"60","CR0-SY","Longnose Dace",87,6.7,0.826074803,1.939519253,"6/5/2023","020502061005 Buffalo Creek"
"61","CR0-SY","Longnose Dace",76,4,0.602059991,1.880813592,"6/5/2023","020502061005 Buffalo Creek"
"62","CR0-SY","Longnose Dace",69,3.2,0.505149978,1.838849091,"6/5/2023","020502061005 Buffalo Creek"
"63","CR0-SY","Longnose Dace",72,3.1,0.491361694,1.857332496,"6/5/2023","020502061005 Buffalo Creek"
"64","CR0-SY","Longnose Dace",65,2.6,0.414973348,1.812913357,"6/5/2023","020502061005 Buffalo Creek"
"65","CR0-SY","Longnose Dace",65,2.4,0.380211242,1.812913357,"6/5/2023","020502061005 Buffalo Creek"
