"","SiteCode","Species","Length_mm","Wt_g","logW","logL","Date","HUC12Watershed"
"1","CR0-SY","Tessellated Darter",43,0.5,-0.301029996,1.633468456,"6/3/2022","020502061005 Buffalo Creek"
"2","CR0-SY","Tessellated Darter",64,2.2,0.342422681,1.806179974,"6/3/2022","020502061005 Buffalo Creek"
"3","CR0-SY","Tessellated Darter",72,3.6,0.556302501,1.857332496,"6/3/2022","020502061005 Buffalo Creek"
"4","CR0-SY","Tessellated Darter",59,2.1,0.322219295,1.770852012,"6/3/2022","020502061005 Buffalo Creek"
"5","CR0-SY","Tessellated Darter",55,1.6,0.204119983,1.740362689,"6/3/2022","020502061005 Buffalo Creek"
"6","CR0-SY","Tessellated Darter",45,0.8,-0.096910013,1.653212514,"6/5/2023","020502061005 Buffalo Creek"
"7","CR0-SY","Tessellated Darter",52,1,0,1.716003344,"6/5/2023","020502061005 Buffalo Creek"
"8","CR0-SY","Tessellated Darter",59,1.7,0.230448921,1.770852012,"6/5/2023","020502061005 Buffalo Creek"
"9","CR0-SY","Tessellated Darter",36,0.4,-0.397940009,1.556302501,"6/5/2023","020502061005 Buffalo Creek"
"10","Darling.Pine","Tessellated Darter",67,2.7,0.431363764,1.826074803,"7/18/2022","020502050601 Trout Run-Pine Creek"
"11","EC0-ML","Tessellated Darter",65,2.2,0.342422681,1.812913357,"6/6/2022","020503010201 Elk Creek"
"12","EC0-ML","Tessellated Darter",63,2.1,0.322219295,1.799340549,"6/6/2022","020503010201 Elk Creek"
"13","EC0-ML","Tessellated Darter",63,2.4,0.380211242,1.799340549,"6/6/2022","020503010201 Elk Creek"
"14","EC0-ML","Tessellated Darter",62,2.2,0.342422681,1.792391689,"6/6/2022","020503010201 Elk Creek"
"15","EC0-ML","Tessellated Darter",53,1.3,0.113943352,1.72427587,"6/6/2022","020503010201 Elk Creek"
"16","EC0-ML","Tessellated Darter",46,1,0,1.662757832,"6/6/2022","020503010201 Elk Creek"
"17","EC0-ML","Tessellated Darter",57,2.2,0.342422681,1.755874856,"6/6/2022","020503010201 Elk Creek"
"18","EC0-ML","Tessellated Darter",63,1.4,0.146128036,1.799340549,"6/6/2022","020503010201 Elk Creek"
"19","EC0-ML","Tessellated Darter",58,2.1,0.322219295,1.763427994,"6/6/2022","020503010201 Elk Creek"
"20","EC0-ML","Tessellated Darter",66,1.6,0.204119983,1.819543936,"6/6/2022","020503010201 Elk Creek"
"21","EC0-ML","Tessellated Darter",62,1.7,0.230448921,1.792391689,"6/6/2022","020503010201 Elk Creek"
"22","EC0-ML","Tessellated Darter",55,1.8,0.255272505,1.740362689,"6/6/2022","020503010201 Elk Creek"
"23","EC0-ML","Tessellated Darter",44,0.4,-0.397940009,1.643452676,"6/6/2022","020503010201 Elk Creek"
"24","EC0-ML","Tessellated Darter",58,1.9,0.278753601,1.763427994,"6/6/2022","020503010201 Elk Creek"
"25","EC0-ML","Tessellated Darter",60,2,0.301029996,1.77815125,"6/6/2022","020503010201 Elk Creek"
"26","EC0-ML","Tessellated Darter",46,0.7,-0.15490196,1.662757832,"6/6/2022","020503010201 Elk Creek"
"27","EC0-ML","Tessellated Darter",59,1.9,0.278753601,1.770852012,"6/6/2022","020503010201 Elk Creek"
"28","EC0-ML","Tessellated Darter",55,1.7,0.230448921,1.740362689,"6/6/2022","020503010201 Elk Creek"
"29","EC0-ML","Tessellated Darter",51,1.1,0.041392685,1.707570176,"6/6/2022","020503010201 Elk Creek"
"30","EC0-ML","Tessellated Darter",60,1.6,0.204119983,1.77815125,"6/6/2022","020503010201 Elk Creek"
"31","EC0-ML","Tessellated Darter",57,1.8,0.255272505,1.755874856,"6/6/2022","020503010201 Elk Creek"
"32","EC0-ML","Tessellated Darter",46,1,0,1.662757832,"6/6/2022","020503010201 Elk Creek"
"33","EC0-ML","Tessellated Darter",57,0.9,-0.045757491,1.755874856,"6/6/2022","020503010201 Elk Creek"
"34","EC0-ML","Tessellated Darter",61,2.6,0.414973348,1.785329835,"6/6/2022","020503010201 Elk Creek"
"35","EC0-ML","Tessellated Darter",45,0.8,-0.096910013,1.653212514,"6/6/2022","020503010201 Elk Creek"
"36","EC0-ML","Tessellated Darter",55,1.4,0.146128036,1.740362689,"6/6/2022","020503010201 Elk Creek"
"37","EC0-ML","Tessellated Darter",53,1.1,0.041392685,1.72427587,"6/6/2022","020503010201 Elk Creek"
"38","EC0-ML","Tessellated Darter",42,0.8,-0.096910013,1.62324929,"6/6/2022","020503010201 Elk Creek"
"39","EC0-ML","Tessellated Darter",55,1.4,0.146128036,1.740362689,"6/6/2022","020503010201 Elk Creek"
"40","EC0-ML","Tessellated Darter",53,1.4,0.146128036,1.72427587,"6/6/2022","020503010201 Elk Creek"
"41","EC0-ML","Tessellated Darter",63,2.3,0.361727836,1.799340549,"6/6/2022","020503010201 Elk Creek"
"42","EC0-NF","Tessellated Darter",57,1.5,0.176091259,1.755874856,"6/9/2022","020503010201 Elk Creek"
"43","EC0-NF","Tessellated Darter",47,1,0,1.672097858,"6/9/2022","020503010201 Elk Creek"
"44","EC0-NF","Tessellated Darter",53,1.6,0.204119983,1.72427587,"6/9/2022","020503010201 Elk Creek"
"45","EC0-NF","Tessellated Darter",47,1,0,1.672097858,"6/9/2022","020503010201 Elk Creek"
"46","EC0-NF","Tessellated Darter",61,2.5,0.397940009,1.785329835,"6/9/2022","020503010201 Elk Creek"
"47","EC0-NF","Tessellated Darter",54,1.5,0.176091259,1.73239376,"6/9/2022","020503010201 Elk Creek"
"48","EC0-NF","Tessellated Darter",61,3.1,0.491361694,1.785329835,"6/9/2022","020503010201 Elk Creek"
"49","EC0-NF","Tessellated Darter",54,1.5,0.176091259,1.73239376,"6/9/2022","020503010201 Elk Creek"
"50","EC0-NF","Tessellated Darter",49,1.2,0.079181246,1.69019608,"6/9/2022","020503010201 Elk Creek"
"51","EC0-NF","Tessellated Darter",51,1.6,0.204119983,1.707570176,"6/9/2022","020503010201 Elk Creek"
"52","EC0-NF","Tessellated Darter",58,1.6,0.204119983,1.763427994,"6/9/2022","020503010201 Elk Creek"
"53","EC0-NF","Tessellated Darter",42,0.8,-0.096910013,1.62324929,"6/9/2022","020503010201 Elk Creek"
"54","EC0-NF","Tessellated Darter",56,1.6,0.204119983,1.748188027,"6/9/2022","020503010201 Elk Creek"
"55","EC0-NF","Tessellated Darter",43,0.8,-0.096910013,1.633468456,"6/9/2022","020503010201 Elk Creek"
"56","EC0-NF","Tessellated Darter",30,0.4,-0.397940009,1.477121255,"6/9/2022","020503010201 Elk Creek"
"57","EC0-NF","Tessellated Darter",48,1.2,0.079181246,1.681241237,"6/9/2022","020503010201 Elk Creek"
"58","EC0-NF","Tessellated Darter",69,2.9,0.462397998,1.838849091,"6/9/2022","020503010201 Elk Creek"
"59","EC0-NF","Tessellated Darter",54,1.4,0.146128036,1.73239376,"6/9/2022","020503010201 Elk Creek"
"60","EC0-NF","Tessellated Darter",39,0.9,-0.045757491,1.591064607,"6/9/2022","020503010201 Elk Creek"
"61","EC0-NF","Tessellated Darter",53,1.5,0.176091259,1.72427587,"6/9/2022","020503010201 Elk Creek"
"62","EC0-NF","Tessellated Darter",65,2.5,0.397940009,1.812913357,"6/9/2022","020503010201 Elk Creek"
"63","EC0-NF","Tessellated Darter",42,0.4,-0.397940009,1.62324929,"6/9/2022","020503010201 Elk Creek"
"64","EC0-NF","Tessellated Darter",59,2.1,0.322219295,1.770852012,"6/9/2022","020503010201 Elk Creek"
"65","EC0-NF","Tessellated Darter",52,1.4,0.146128036,1.716003344,"6/9/2022","020503010201 Elk Creek"
"66","EC0-NF","Tessellated Darter",51,1.4,0.146128036,1.707570176,"6/9/2022","020503010201 Elk Creek"
"67","EC0-NF","Tessellated Darter",62,2.2,0.342422681,1.792391689,"6/9/2022","020503010201 Elk Creek"
"68","EC0-NF","Tessellated Darter",46,1,0,1.662757832,"6/9/2022","020503010201 Elk Creek"
"69","EC0-NF","Tessellated Darter",50,1.2,0.079181246,1.698970004,"6/9/2022","020503010201 Elk Creek"
"70","EC0-NF","Tessellated Darter",60,1.8,0.255272505,1.77815125,"6/9/2022","020503010201 Elk Creek"
"71","EC0-NF","Tessellated Darter",45,0.8,-0.096910013,1.653212514,"6/9/2022","020503010201 Elk Creek"
"72","EC0-PH","Tessellated Darter",57,1.5,0.176091259,1.755874856,"6/6/2022","020503010201 Elk Creek"
"73","EC0-PH","Tessellated Darter",64,2.3,0.361727836,1.806179974,"6/6/2022","020503010201 Elk Creek"
"74","EC0-PH","Tessellated Darter",57,1.6,0.204119983,1.755874856,"6/6/2022","020503010201 Elk Creek"
"75","EC0-PH","Tessellated Darter",46,0.9,-0.045757491,1.662757832,"6/6/2022","020503010201 Elk Creek"
"76","EC0-PH","Tessellated Darter",46,1,0,1.662757832,"6/6/2022","020503010201 Elk Creek"
"77","EC0-PH","Tessellated Darter",66,2.1,0.322219295,1.819543936,"6/6/2022","020503010201 Elk Creek"
"78","EC0-PH","Tessellated Darter",45,0.9,-0.045757491,1.653212514,"6/6/2022","020503010201 Elk Creek"
"79","EC0-PH","Tessellated Darter",54,1.4,0.146128036,1.73239376,"6/6/2022","020503010201 Elk Creek"
"80","EC0-PH","Tessellated Darter",45,0.9,-0.045757491,1.653212514,"6/6/2022","020503010201 Elk Creek"
"81","EC0-PH","Tessellated Darter",46,0.9,-0.045757491,1.662757832,"6/6/2022","020503010201 Elk Creek"
"82","EC0-PH","Tessellated Darter",46,0.8,-0.096910013,1.662757832,"6/6/2022","020503010201 Elk Creek"
"83","EC0-PH","Tessellated Darter",66,3.5,0.544068044,1.819543936,"6/6/2022","020503010201 Elk Creek"
"84","EC0-PH","Tessellated Darter",47,1.1,0.041392685,1.672097858,"6/6/2022","020503010201 Elk Creek"
"85","EC0-PH","Tessellated Darter",61,2.4,0.380211242,1.785329835,"6/6/2022","020503010201 Elk Creek"
"86","EC0-PH","Tessellated Darter",47,0.8,-0.096910013,1.672097858,"6/6/2022","020503010201 Elk Creek"
"87","EC0-PH","Tessellated Darter",46,1.1,0.041392685,1.662757832,"6/6/2022","020503010201 Elk Creek"
"88","EC0-PH","Tessellated Darter",56,1.6,0.204119983,1.748188027,"6/6/2022","020503010201 Elk Creek"
"89","EC0-PH","Tessellated Darter",54,1.8,0.255272505,1.73239376,"6/6/2022","020503010201 Elk Creek"
"90","EC0-PH","Tessellated Darter",49,1.2,0.079181246,1.69019608,"6/6/2022","020503010201 Elk Creek"
"91","EC0-PH","Tessellated Darter",59,2,0.301029996,1.770852012,"6/6/2022","020503010201 Elk Creek"
"92","EC0-PH","Tessellated Darter",49,1.2,0.079181246,1.69019608,"6/6/2022","020503010201 Elk Creek"
"93","EC0-PH","Tessellated Darter",52,1.2,0.079181246,1.716003344,"6/6/2022","020503010201 Elk Creek"
"94","EC0-PH","Tessellated Darter",52,1.3,0.113943352,1.716003344,"6/6/2022","020503010201 Elk Creek"
"95","EC0-PH","Tessellated Darter",47,1.1,0.041392685,1.672097858,"6/6/2022","020503010201 Elk Creek"
"96","EC0-PH","Tessellated Darter",60,1,0,1.77815125,"6/6/2022","020503010201 Elk Creek"
"97","EC0-PH","Tessellated Darter",55,1.9,0.278753601,1.740362689,"6/6/2022","020503010201 Elk Creek"
"98","EC0-PH","Tessellated Darter",51,1.6,0.204119983,1.707570176,"6/6/2022","020503010201 Elk Creek"
"99","EC0-PH","Tessellated Darter",64,2.7,0.431363764,1.806179974,"6/6/2022","020503010201 Elk Creek"
"100","EC0-PH","Tessellated Darter",65,2.7,0.431363764,1.812913357,"6/6/2022","020503010201 Elk Creek"
"101","EC0-PH","Tessellated Darter",51,1.2,0.079181246,1.707570176,"6/6/2022","020503010201 Elk Creek"
"102","EC0-SF","Tessellated Darter",54,1.4,0.146128036,1.73239376,"6/7/2022","020503010201 Elk Creek"
"103","EC0-SF","Tessellated Darter",39,0.6,-0.22184875,1.591064607,"6/7/2022","020503010201 Elk Creek"
"104","EC0-SF","Tessellated Darter",44,0.7,-0.15490196,1.643452676,"6/7/2022","020503010201 Elk Creek"
"105","EC0-SF","Tessellated Darter",42,0.6,-0.22184875,1.62324929,"6/7/2022","020503010201 Elk Creek"
"106","EC0-SF","Tessellated Darter",63,1.9,0.278753601,1.799340549,"6/7/2022","020503010201 Elk Creek"
"107","EC0-SF","Tessellated Darter",67,2.7,0.431363764,1.826074803,"6/7/2022","020503010201 Elk Creek"
"108","EC0-SF","Tessellated Darter",48,1,0,1.681241237,"6/7/2022","020503010201 Elk Creek"
"109","EC0-SF","Tessellated Darter",55,1.7,0.230448921,1.740362689,"6/7/2022","020503010201 Elk Creek"
"110","EC0-SF","Tessellated Darter",54,1.5,0.176091259,1.73239376,"6/7/2022","020503010201 Elk Creek"
"111","EC0-SF","Tessellated Darter",50,1.2,0.079181246,1.698970004,"6/7/2022","020503010201 Elk Creek"
"112","EC0-SF","Tessellated Darter",46,0.8,-0.096910013,1.662757832,"6/7/2022","020503010201 Elk Creek"
"113","EC0-SF","Tessellated Darter",44,0.8,-0.096910013,1.643452676,"6/7/2022","020503010201 Elk Creek"
"114","EC0-SF","Tessellated Darter",50,1.3,0.113943352,1.698970004,"6/7/2022","020503010201 Elk Creek"
"115","EC0-SF","Tessellated Darter",51,1,0,1.707570176,"6/7/2022","020503010201 Elk Creek"
"116","EC0-SF","Tessellated Darter",45,1.1,0.041392685,1.653212514,"6/7/2022","020503010201 Elk Creek"
"117","EC0-SF","Tessellated Darter",47,1.1,0.041392685,1.672097858,"6/7/2022","020503010201 Elk Creek"
"118","EC0-SF","Tessellated Darter",37,0.6,-0.22184875,1.568201724,"6/7/2022","020503010201 Elk Creek"
"119","EC0-SF","Tessellated Darter",62,1.5,0.176091259,1.792391689,"6/7/2022","020503010201 Elk Creek"
"120","EC0-SF","Tessellated Darter",48,0.7,-0.15490196,1.681241237,"6/7/2022","020503010201 Elk Creek"
"121","EC0-SF","Tessellated Darter",44,0.7,-0.15490196,1.643452676,"6/7/2022","020503010201 Elk Creek"
"122","EC0-SF","Tessellated Darter",54,1.2,0.079181246,1.73239376,"6/7/2022","020503010201 Elk Creek"
"123","EC0-SF","Tessellated Darter",59,2.3,0.361727836,1.770852012,"6/7/2022","020503010201 Elk Creek"
"124","EC0-SF","Tessellated Darter",49,1.2,0.079181246,1.69019608,"6/7/2022","020503010201 Elk Creek"
"125","EC0-SF","Tessellated Darter",50,1.1,0.041392685,1.698970004,"6/7/2022","020503010201 Elk Creek"
"126","EC0-SF","Tessellated Darter",54,1.8,0.255272505,1.73239376,"6/7/2022","020503010201 Elk Creek"
"127","EC0-SF","Tessellated Darter",53,1.7,0.230448921,1.72427587,"6/7/2022","020503010201 Elk Creek"
